詞彙,詞類
保障,V
寶寶(˙ㄅㄠ),N
抱,Vst
報,V
報仇,V-sep
報答,Vpt
報導,V
報到,Vi
報警,V-sep
報社,N
暴力,N
暴躁,Vs
爆炸,Vp
悲劇,N
悲痛,Vs
倍,N
備,V
背面,N
奔,Vi
奔跑,Vi
本來,Vs-attr
本領,N
本身,N
本土,N
笨重,Vs
比,V
比方,N
比方(說),Vst
比較,N
比較,V
比例,N
彼此,N
筆記,N
筆試,N
筆試,Vi
閉,Vi
必須,Vs-attr
必要,N
編,V
扁,Vs
便利,Vs
變動,N
變動,Vp
標題,N
標誌,N
表格,N
表情,N
表揚,V
冰,Vs
丙,N
病毒,N
病房,N
撥,V
菠菜,N
波動,Vi
玻璃(˙ㄌㄧ),N
薄,Vs
薄弱,Vs
伯父,N
伯母,N
捕,V
補,V
補償,V
補充,V
補課,V-sep
補習,V-sep
補助,N
補助,V
不安,Vs
不成,Vs-pred
不當,Vs
不到,Vst
不得已,Vs
不敢當,Vs
不顧,Vst
不良,Vs
不平,Vs
不如,Vst
不宜,Vs
不止,Vs-pred
部隊,N
部長,N
布/佈告,N
布/佈告欄,N
